journal,issn,ajg_rank,ft50
Accounting Review,1558-7967,4*,1
"Accounting, Organizations and Society",1873-6289,4*,1
Journal of Accounting and Economics,1879-1980,4*,1
Journal of Accounting Research,1475-679X,4*,1
Contemporary Accounting Research,1911-3846,4,1
Review of Accounting Studies,1573-7136,4,1
Abacus,1467-6281,3,0
Accounting and Business Research,2159-4260,3,0
Accounting Forum,1467-6303,3,0
Accounting Horizons,1558-7975,3,0
"Accounting, Auditing and Accountability Journal",1758-4205,3,0
Auditing,1558-7991,3,0
Behavioral Research in Accounting,1558-8009,3,0
British Accounting Review,1095-8347,3,0
British Tax Review,0007-1870,3,0
Critical Perspectives on Accounting,1095-9955,3,0
European Accounting Review,1468-4497,3,0
Financial Accountability and Management,1468-0408,3,0
Foundations and Trends in Accounting,1554-0650,3,0
International Journal of Accounting,1094-4060,3,0
Journal of Accounting and Public Policy,1873-2070,3,0
Journal of Accounting Literature,0737-4607,3,0
"Journal of Accounting, Auditing and Finance",0148-558X,3,0
Journal of Business Finance and Accounting,1468-5957,3,0
Journal of Financial Reporting,,3,
"Journal of International Accounting, Auditing and Taxation",1061-9518,3,0
Journal of the American Taxation Association,1558-8017,3,0
Management Accounting Research,1096-1224,3,0
Accounting and Finance,1467-629X,2,0
Accounting and the Public Interest,1530-9320,2,0
Accounting in Europe,1744-9499,2,0
Accounting Research Journal,1030-9616,2,0
"Accounting, Economics and Law: A Convivium",2152-2820,2,0
Advances in Accounting,1046-5715,2,0
Advances in Accounting Behavioral Research,1475-1488,2,0
Advances in Management Accounting,1474-7871,2,0
Advances in Taxation,1058-7497,2,0
Asia-Pacific Journal of Accounting and Economics,2164-2257,2,0
Asian Review of Accounting,1758-8863,2,0
Australian Accounting Review,1835-2561,2,0
China Journal of Accounting Research,1755-3091,2,0
Current Issues in Auditing,1936-1270,2,0
International Journal of Accounting and Information Management,1758-9037,2,0
"IInntteerrnnaattiioonnaall JJoouurrnnaall ooff AAccccoouunnttiinngg ,I Anfuodrimtinagt iaonnd S yPestrefomrmsance",,2,
Evaluation,1461-7153,2,0
International Journal of Auditing,1099-1123,2,0
International Journal of Disclosure and Governance,1746-6539,2,0
International Journal of Managerial and Financial Accounting,1753-6723,2,0
Journal of Accounting and Organizational Change,1832-5912,2,0
Journal of Accounting in Emerging Economies,2042-1176,2,0
Journal of Applied Accounting Research,0967-5426,2,0
Journal of Contemporary Accounting and Economics,1815-5669,2,0
Journal of Forensic Accounting Research,,2,
Journal of International Accounting Research,1558-8025,2,0
Journal of International Financial Management and Accounting,1467-646X,2,0
Journal of Management Accounting Research,1558-8033,2,0
Journal of Management Control,2191-477X,2,0
"Journal of Public Budgeting, Accounting and Financial Management",1945-1814,2,0
Journal of Tax Administration,2059-190X,2,0
Managerial Auditing Journal,1758-7735,2,0
Qualitative Research in Accounting and Management,1758-7654,2,0
"Sustainability Accounting, Management and Policy Journal",2040-803X,2,0
"Accounting, Finance & Governance Review",0791-9638,1,0
Advances in Environmental Accounting and Management,1479-3598,1,0
Advances in Public Interest Accounting,1041-7060,1,0
"African Journal of Accounting, Auditing and Finance",,1,
Asian Journal of Accounting Research,,1,
ATA Journal of Legal Tax Research,1543-866X,1,0
"Australasian Accounting, Business and Finance Journal",1834-2019,1,0
China Journal of Accounting Studies,2169-7221,1,0
Comptabilite Controle Audit,1262-2788,1,0
EDPACS,1936-1009,1,0
International Journal of Critical Accounting,1757-9856,1,0
Journal of Accounting and Management Information Systems,2559-6004,1,0
JJoouurrnnaall ooff AFoccreonusnitci nagn da nIndv Teasxtaigtaiotnive Accounting (previously Journal,,1,
of Forensic Accounting),,1,
Journal of Governmental & Non-Profit Accounting,2155-3815,1,0
Journal of Information Systems,1558-7959,1,0
Journal of Islamic Accounting and Business Research,1759-0817‎,1,0
Management Accounting Frontiers,2209-038X,1,0
Meditari Accountancy Research,2049-3738,1,0
Pacific Accounting Review,2041-5494,1,0
Research on Professional Responsibility and Ethics in Accounting,1574-0765,1,0
Revista Contabilidade & Finanças,,1,
Revista de Contabilidad-Spanish Accounting Review,1988-4672,1,0
Revista Espanola de Financiacion y Contabilidad,2332-0753,1,0
Social and Environmental Accountability Journal,2156-2245,1,0
South African Journal of Accounting Research,2376-3981,1,0
World Tax Journal,2352-9237,1,0
Business History,1743-7938,4,0
Business History Review,2044-768X,4,0
Economic History Review,1468-0289,4,0
Enterprise and Society,1467-2235,3,0
European Review of Economic History,1474-0044,3,0
Explorations in Economic History,1090-2457,3,0
Journal of Economic History,1471-6372,3,0
Accounting Historians Journal,2327-4468,2,0
Accounting History,1749-3374,2,0
Accounting History Review,2155-286X,2,0
Australian Economic History Review,1467-8446,2,0
Cliometrica,1863-2513,2,0
Economic History of Developing Regions,,2,
Entreprises et Histoire,1161-2770,2,0
Essays in Economic and Business History,0896-226X,2,0
European Journal of the History of Economic Thought,1469-5936,2,0
Financial History Review,1474-0052,2,0
Journal of the History of Economic Thought,1469-9656,2,0
Journal of Transport History,1759-3999,2,0
Labor History,1469-9702,2,0
Management and Organizational History,1744-9367,2,0
Historical Studies in Industrial Relations,2049-4459,1,0
Irish Economic and Social History,0332-4893,1,0
